batter,impact
DB Das,-6.503868581285665
Arshdeep Singh,-6.739738441382962
TA Boult,-6.800332507449047
R McLaren,-6.888394493031268
S Rana,-7.058898130175683
AS Raut,-7.086262210442463
RV Gomez,-7.100947066206425
MF Maharoof,-7.210493375519424
Bipul Sharma,-7.228750735637356
SK Warne,-7.282649375791554
TL Suman,-7.395235550077027
Mohammad Nabi,-7.4194086518084825
GH Vihari,-7.430010419115062
M Manhas,-7.453719247299331
Shakib Al Hasan,-7.45635112459787
NLTC Perera,-7.5252873857892295
CR Brathwaite,-7.672829730826782
Y Nagar,-7.935693294804003
MP Stoinis,-8.057583269140014
AM Nayar,-8.178781231138256
T Stubbs,-8.209462531504025
M Markande,-8.23384643025126
I Sharma,-8.234534764869801
CJ Jordan,-8.328085821900702
MK Lomror,-8.451861751164776
Kuldeep Yadav,-8.771167662829363
RR Powar,-8.88678634973686
BCJ Cutting,-9.02484454088816
PP Ojha,-9.03668818620299
B Lee,-9.395473929717808
JO Holder,-9.524250697095635
M Jansen,-9.64741482472181
DJ Hooda,-9.654866605271108
DB Ravi Teja,-9.899509342033737
GJ Bailey,-9.947829340965862
AB Agarkar,-9.98414993024419
RD Chahar,-10.00838286454387
DH Yagnik,-10.115530299289386
AD Russell,-10.446656497957518
Washington Sundar,-10.461845284610096
DS Kulkarni,-10.573739282958384
J Botha,-10.837141723241432
MC Henriques,-10.858434243095619
Mohammed Shami,-10.873770428217705
Harpreet Brar,-11.038926927082903
M Shahrukh Khan,-11.141506227884825
JD Unadkat,-11.499319783287175
OA Shah,-11.596167980522559
KV Sharma,-11.665219347895341
CL White,-11.671357363135918
TG Southee,-11.692752159306272
K Rabada,-11.800739595046203
TH David,-11.90640859167575
RJ Harris,-12.266778292102668
JP Faulkner,-12.271529385557596
YK Pathan,-12.289380476595815
CH Morris,-12.524577343080367
V Shankar,-12.703226799559475
Y Venugopal Rao,-12.850196445947988
SS Tiwary,-12.9455188079366
SO Hetmyer,-12.977670836116177
JC Archer,-13.169583658135513
Abdul Samad,-13.521248428616113
A Badoni,-13.688363256959846
Shahbaz Ahmed,-13.950002962474922
EJG Morgan,-13.966817723876174
SN Thakur,-14.043332508411918
DT Christian,-14.126428158204524
JJ Bumrah,-14.172045877946834
A Ashish Reddy,-14.22933376615869
RP Singh,-14.553677298257991
Z Khan,-14.572253909709842
Rashid Khan,-14.607776873378404
Yuvraj Singh,-14.636942317766204
S Badrinath,-14.946677063660173
R Dhawan,-15.175201746461205
MG Johnson,-15.514908488414335
SN Khan,-15.641340216219394
STR Binny,-15.738629398361565
LR Shukla,-15.913550998235895
NV Ojha,-15.984034586138934
PJ Cummins,-16.652880339387284
SPD Smith,-17.865515972475862
R Tewatia,-18.94517523983154
HV Patel,-19.24958275223929
AD Mathews,-20.736862254646883
R Ashwin,-20.76133325681872
A Mishra,-21.224999478715773
R Parag,-21.429813031094557
R Bhatia,-21.770422011050123
DW Steyn,-21.884654911940636
BJ Hodge,-22.284526216695166
P Negi,-22.486116261548712
P Kumar,-22.68763939292986
R Vinay Kumar,-23.31286765480458
MK Tiwary,-24.436433967749494
JA Morkel,-26.808423314766973
KH Pandya,-28.02615106839861
JP Duminy,-29.457693495209657
AR Patel,-29.517976976280345
KM Jadhav,-30.52635219892535
HH Pandya,-31.102773067539545
B Kumar,-31.63804275744559
IK Pathan,-34.15538757651166
KD Karthik,-34.20011229795021
DJ Bravo,-34.94316476426795
Harbhajan Singh,-42.67321529317867
KA Pollard,-45.56881274933157
PP Chawla,-48.41640999332357
RA Jadeja,-54.36868511562471
MS Dhoni,-73.2344790766795
